@relation 'Dataset-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-N0-L-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.instance.SparseToNonSparse-weka.filters.unsupervised.attribute.Remove-V-R8,38,47,70,74,78,98,112-113,208,227,252,345,356,385,453,472,504,507,536,582,615,642,652-653,672,702,706,739,781,836,856,913,917,919,975,998,1029,1039,1065,1082,1085,1087,1111,1117,1123,1135,1139,1142,1157,1168,1196,1200,1208,1226,1236,1247-1248,1'

@attribute 8mm numeric
@attribute also numeric
@attribute anaconda numeric
@attribute attempts numeric
@attribute awful numeric
@attribute bad numeric
@attribute best numeric
@attribute boring numeric
@attribute both numeric
@attribute different numeric
@attribute dull numeric
@attribute eve numeric
@attribute gives numeric
@attribute great numeric
@attribute heres numeric
@attribute kill numeric
@attribute laughable numeric
@attribute looks numeric
@attribute loud numeric
@attribute mess numeric
@attribute nor numeric
@attribute overthetop numeric
@attribute planet numeric
@attribute poor numeric
@attribute poorly numeric
@attribute project numeric
@attribute ridiculous numeric
@attribute robbins numeric
@attribute script numeric
@attribute skip numeric
@attribute supposed numeric
@attribute terrible numeric
@attribute twice numeric
@attribute unbelievable numeric
@attribute unfortunately numeric
@attribute why numeric
@attribute worst numeric
@attribute america numeric
@attribute beautiful numeric
@attribute culture numeric
@attribute effective numeric
@attribute epic numeric
@attribute excellent numeric
@attribute hilarious numeric
@attribute impressive numeric
@attribute jesus numeric
@attribute living numeric
@attribute matt numeric
@attribute memorable numeric
@attribute outstanding numeric
@attribute pulp numeric
@attribute slightly numeric
@attribute solid numeric
@attribute storyline numeric
@attribute touching numeric
@attribute vampire numeric
@attribute wonderful numeric
@attribute wonderfully numeric
@attribute class1234 {neg,pos}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neg
